Datum,Nicht indexiert,Indexiert,Impressionen
2025-10-27,,,8
2025-10-28,333,100,13
2025-10-29,345,103,5
2025-10-30,345,103,10
2025-10-31,345,103,13
2025-11-01,345,103,12
2025-11-02,350,98,6
2025-11-03,350,98,14
2025-11-04,350,98,12
